id;bank_account_id;transaction_date;reference;amount;direction;related_payment_id;description
1;25094;2025-10-08T16:34:25;wherever;15575.37;DEBIT;27553;following
2;22582;2025-10-08T13:51:16;whether sugary;15567.23;CREDIT;23273;hence righteously gullible
3;12741;2025-10-09T05:21:30;as delight lest;15878.94;DEBIT;11136;bah
4;10736;2025-10-08T11:58:34;sticky incidentally draft;19389.11;CREDIT;9076;underneath finally information
5;29742;2025-10-08T17:32:33;duster;3477.58;CREDIT;24206;before yippee delightfully
6;18340;2025-10-08T13:28:10;shakily;16502.66;CREDIT;10527;brr ruin
7;20253;2025-10-09T00:55:25;playfully ack;5386.42;DEBIT;27504;clueless
8;12533;2025-10-08T23:21:13;shred pfft;10668.71;CREDIT;15261;amidst deploy intermix
9;32480;2025-10-08T14:49:07;once;27474.39;DEBIT;3821;supposing eek
10;21988;2025-10-08T17:15:49;late till bakeware;9118.36;DEBIT;28733;very trouser strategy
