id;name;start_date;end_date;account_id;amount
1;blah;2025-10-09T05:13:45;2025-10-09T06:58:46;507;16657.62
2;tame quintuple;2025-10-08T14:18:01;2025-10-09T04:27:31;17224;4163.48
3;astride;2025-10-08T09:51:24;2025-10-08T17:23:21;27122;8797.38
4;boo;2025-10-09T03:50:57;2025-10-08T09:38:14;32408;2842.41
5;now;2025-10-08T22:33:24;2025-10-08T12:51:25;29047;12792.22
6;qua ew whoa;2025-10-09T02:15:08;2025-10-08T10:18:14;10258;25541.64
7;polarisation critical;2025-10-09T05:12:22;2025-10-08T23:38:46;13990;9996.58
8;given around yuck;2025-10-09T04:33:22;2025-10-08T10:08:37;27364;31029.99
9;reporter plus;2025-10-08T10:29:34;2025-10-08T19:08:47;9017;16806.14
10;fumigate ouch but;2025-10-08T13:41:43;2025-10-08T12:26:57;30397;2252.63
