id;product_id;quantity;unit_price;vat_rate_id;currency_id;sale_date
1;11035;32538;5717.07;11531;22789;2025-10-09T08:37:57
2;28924;32431;24323.76;2040;20626;2025-10-08T18:32:21
3;25086;2184;10513.5;25771;27221;2025-10-08T17:55:32
4;1012;14474;24449.2;30577;30607;2025-10-09T00:07:06
5;26195;4272;24336.2;10747;770;2025-10-09T01:16:22
6;22205;16636;16010.67;4427;2212;2025-10-09T00:38:10
7;17764;24235;15851.36;6177;17367;2025-10-09T02:55:11
8;127;31400;25918.16;10253;6249;2025-10-08T14:00:23
9;673;18993;7700.62;6904;22163;2025-10-09T03:04:27
10;19314;4089;16375.72;25389;23889;2025-10-08T12:40:20
