id;name;account_type;code;initial_balance;current_balance
1;swift evenly squirm;EXPENSE;below;30755.71;21957.89
2;book athwart;ASSET;hundred;429.21;5986.3
3;intensely allegation dash;EXPENSE;rough yowza zowie;20756.53;15930.41
4;scrap sometimes;LIABILITY;nor;17548.68;29560.57
5;remarkable eek;ASSET;splay;8562.09;6061.73
6;fine barring meaningfully;LIABILITY;sympathetically boohoo trustworthy;20669.63;22480.48
7;whether bookend blissfully;ASSET;sympathetically well-made;18840.52;20538.29
8;downchange;ASSET;unrealistic;22476.4;1567.89
9;ah yuck;INCOME;earth vivacious dearly;12421.03;24329.52
10;omelet likewise gad;EQUITY;and;28246.66;4824.96
