id;code;name;symbol
1;surface;burgeon delectable before;collaboration chairperson if
2;delirious glorious;accountability other;boo privilege
3;nor goodwill selfishly;a officially knowledgeably;irritably
4;whoever;octave;overvalue intensely accountability
5;unlined what fraternise;along;upliftingly
6;peppery accredit ha;whoever meanwhile following;jump
7;given marksman throughout;delirious key excitedly;that
8;pro horde;impractical goose;lazily
9;jumbo rosemary hence;acquaintance freckle whereas;butter tabulate made-up
10;blah vainly;where;thoughtfully season
