id;fleet_trip_id;timestamp;latitude;longitude;speed;heading
1;28790;2025-10-08T13:15:28;20909.94;11408.77;11499.68;9776.52
2;30760;2025-10-08T22:06:37;13140.38;32210.32;17191.97;7820.65
3;5893;2025-10-08T22:58:20;28464.42;2684.24;2398.33;18059.05
4;1400;2025-10-09T00:51:58;6882.62;11643.68;24314.38;22665.37
5;21383;2025-10-08T14:10:41;19051.01;13776.86;9394.78;10178.64
6;7540;2025-10-08T20:54:41;12427.88;16394.2;26813.27;12925.7
7;5999;2025-10-09T08:34:36;10141.04;1458.2;18816.4;29351.43
8;21622;2025-10-09T03:45:54;19764.04;2731.93;28807.59;11184.41
9;6130;2025-10-09T04:18:12;14769.51;16534.49;2060.76;9882.49
10;8876;2025-10-08T19:12:00;1768.69;10687.95;16723.75;9973.11
