id;vehicle_id;date;fuel_volume;fuel_cost;location;trip_id
1;2085;2025-10-08T19:40:10;25975.24;6869.73;from;4680
2;27750;2025-10-08T09:15:38;2045.18;6451.95;ouch up though;31628
3;17427;2025-10-08T15:22:40;13634.3;22754.95;yarmulke eek duh;3082
4;21543;2025-10-09T01:48:09;10567.09;185.99;after though unhealthy;22154
5;1264;2025-10-08T11:24:50;27292.8;28916.99;terribly;65
6;17548;2025-10-08T19:08:49;27062.27;23189.98;after morning;32121
7;26398;2025-10-08T10:55:46;9855.91;26980.09;youthfully daily inasmuch;20387
8;22882;2025-10-09T04:39:12;9735.29;20206.52;nervous incidentally corny;10308
9;23802;2025-10-08T20:25:39;25315.11;19887.85;maintainer schedule;30324
10;6431;2025-10-08T18:33:27;13602.93;2159.99;onto;12913
