id;vehicle_id;trip_id;incident_date;type;description;cost
1;4866;32679;2025-10-08T21:05:29;BREAKDOWN;understanding;13868.92
2;21801;4183;2025-10-08T20:10:41;DENT;of far;27502.74
3;31986;3171;2025-10-09T02:18:35;BREAKDOWN;ugh ouch the;15405.1
4;11957;30525;2025-10-09T02:17:44;BREAKDOWN;versus along;5623.4
5;31963;29125;2025-10-08T19:42:17;DENT;crafty recommendation;17315.92
6;14390;14437;2025-10-09T01:01:02;DENT;dense;10623.67
7;10810;13605;2025-10-08T15:29:22;ACCIDENT;instead;14048.5
8;7002;24741;2025-10-08T11:40:46;BREAKDOWN;relative;13925.94
9;633;2517;2025-10-09T00:21:53;BREAKDOWN;wound proper poor;4234.67
10;7381;4904;2025-10-08T18:49:25;BREAKDOWN;obstruct;31758.33
