id;client_name;issue_date;due_date;status;currency_id;vat_rate_id;total_amount;paid_amount;payment_status
1;underneath amazing;2025-10-09T04:18:28;2025-10-09T01:00:27;REJECTED;18351;8713;27154.21;5068.52;PARTIALLY_PAID
2;famously unlike next;2025-10-09T02:19:08;2025-10-08T18:53:53;REJECTED;4033;18646;32016.38;2716.08;UNPAID
3;outside whenever;2025-10-08T12:08:51;2025-10-08T10:09:25;APPROVED;8974;18755;5259.78;7850.5;PAID
4;given;2025-10-08T15:59:55;2025-10-08T18:31:49;PAID;15910;4273;24089.54;4544.51;PARTIALLY_PAID
5;since consequently;2025-10-08T23:12:04;2025-10-09T02:50:22;DRAFT;1179;6477;25931.47;4102.15;PARTIALLY_PAID
6;glorious how;2025-10-08T14:27:58;2025-10-08T13:19:48;PAID;13711;14777;30186.71;22984.21;PAID
7;agreement strong;2025-10-08T14:38:50;2025-10-09T06:04:06;REJECTED;6572;344;22471.42;24495.13;PAID
8;blah furlough failing;2025-10-08T21:28:15;2025-10-09T06:56:46;PAID;14183;24054;31587.21;1979.09;PARTIALLY_PAID
9;odd;2025-10-09T01:19:37;2025-10-08T19:44:12;APPROVED;7334;20585;22418.85;23607.07;PAID
10;freezing;2025-10-09T05:42:19;2025-10-09T04:30:09;SENT;11223;10439;9696.95;1220.06;PAID
