id;amount;payment_date;method;currency_id;bank_account_id;invoice_id
1;6056.17;2025-10-08T15:02:47;CASH;28344;12243;14484
2;348.94;2025-10-08T16:39:03;MOBILE_MONEY;21792;7351;18675
3;32403;2025-10-09T00:02:50;MOBILE_MONEY;32089;7132;4806
4;32690.07;2025-10-09T00:27:38;CASH;25614;27289;27214
5;23909.75;2025-10-09T06:07:45;BANK_TRANSFER;14087;4756;30302
6;18986.11;2025-10-09T02:32:48;BANK_TRANSFER;31414;1042;32057
7;13312.19;2025-10-08T09:32:34;BANK_TRANSFER;4810;15587;14231
8;8089.97;2025-10-08T10:36:44;MOBILE_MONEY;11205;11895;12621
9;3303.11;2025-10-08T23:21:12;MOBILE_MONEY;8266;4757;30345
10;5190.78;2025-10-09T06:53:03;MOBILE_MONEY;11751;5113;16910
