id;name;category_id;supplier_id;unit_cost;unit_price;stock_qty
1;proper timely;31275;9104;26667;23246.5;30761
2;defrag regarding;3333;16493;15159.23;10209.68;32637
3;popularity gently;4051;10612;24146.25;12069.4;16749
4;loaf;21415;8521;21051.01;11009.79;26404
5;fortunately except yawn;23742;11681;7287.19;6813.26;15542
6;until outside;13003;29643;13433.92;16751.67;29307
7;graceful hastily;25333;13585;16528.23;4174.71;19615
8;rule behest;9951;15267;864.03;8864.55;30067
9;along;6658;27448;29562.88;19034.99;23356
10;storyboard intently;2739;2846;6042.8;22671.39;13424
