id;client_name;issue_date;status;currency_id;vat_rate_id;total_amount
1;celebrate waist;2025-10-08T10:44:19;PAID;4001;18420;11147.38
2;or separately energetically;2025-10-08T12:25:53;DRAFT;32126;1652;20994.29
3;yowza;2025-10-08T12:46:13;APPROVED;19369;27377;25786.06
4;to keenly commandeer;2025-10-09T07:24:06;PAID;3793;10760;32192.52
5;roughly pointed;2025-10-09T06:15:59;DRAFT;11300;4513;19017.81
6;shipper censor;2025-10-09T06:05:17;PAID;28711;23225;23933.31
7;punctuation advocate;2025-10-08T13:24:15;DRAFT;18182;16736;10103.89
8;meanwhile;2025-10-08T17:30:09;APPROVED;4584;2035;16673.17
9;immediately or;2025-10-09T01:51:52;APPROVED;2180;6814;9283.43
10;supposing;2025-10-08T11:11:42;APPROVED;23762;20482;16215.51
