id;name;amount;frequency;start_date;end_date;account_id;currency_id;vat_rate_id
1;pear sick granny;9893.79;redesign;2025-10-09T01:40:44;2025-10-08T21:49:28;17397;27708;32155
2;flood;14899.69;powerfully;2025-10-08T13:54:44;2025-10-09T01:01:57;24102;7602;24014
3;swathe off;1735.28;colour split;2025-10-08T14:10:35;2025-10-08T22:48:23;9903;23821;4157
4;democratize flawed;8809.18;cram oxidize unless;2025-10-09T07:23:57;2025-10-08T12:59:48;5241;30500;765
5;neck;209.67;upside-down;2025-10-08T12:19:22;2025-10-09T04:19:58;18354;25226;8175
6;whenever hefty wrongly;28474.94;till hm disloyal;2025-10-09T08:35:26;2025-10-08T23:08:53;26003;6997;8535
7;concerning;17094.61;broadly pessimistic;2025-10-08T18:31:53;2025-10-08T08:59:43;18823;32727;117
8;fence pointless right;19761.78;furiously kielbasa beside;2025-10-09T03:34:48;2025-10-09T02:39:15;2570;11922;7810
9;rebuff conjecture times;10691.59;expatiate;2025-10-08T11:40:32;2025-10-09T00:41:03;5504;588;6348
10;secret polite likewise;16212.91;key through;2025-10-08T11:45:32;2025-10-08T22:04:44;12990;10405;18625
