id;vehicle_id;service_date;description;cost;mileage_at_service;supplier_id
1;31068;2025-10-09T03:21:25;bah yuck necklace;2191.95;6706.12;21525
2;14225;2025-10-08T19:08:49;chilly which since;23024.72;12082.66;29987
3;25198;2025-10-09T04:47:52;woot meh moral;27210.34;27279.45;11373
4;30029;2025-10-09T07:15:38;oof simple or;1158.33;25788.44;30955
5;25058;2025-10-09T02:54:32;justly heroine;17529.72;5996.18;18800
6;13534;2025-10-09T08:19:39;providence notwithstanding athwart;9926;2876.08;15163
7;19345;2025-10-08T10:11:16;poppy from;19248.28;13439.07;20967
8;14039;2025-10-08T16:12:23;repeatedly;15229.79;28167.31;6821
9;11219;2025-10-09T03:17:07;below;9179.39;31831.95;6869
10;2131;2025-10-08T23:40:56;supposing;7231.22;10498.24;4775
