id;type;amount;transaction_date;account_id;vat_rate_id;currency_id
1;EXPENSE;8460.79;2025-10-08T19:56:33;9273;32109;24649
2;EXPENSE;29659.4;2025-10-09T07:29:27;6823;3538;26876
3;EXPENSE;5003.74;2025-10-09T07:15:40;16230;19514;393
4;EXPENSE;14101.95;2025-10-09T07:23:09;7564;9427;22779
5;INCOME;21315.14;2025-10-09T03:09:02;32581;16096;31887
6;INCOME;14925.94;2025-10-08T13:29:50;2852;26869;56
7;EXPENSE;15052.19;2025-10-09T07:43:06;6413;21185;20727
8;EXPENSE;12981.14;2025-10-08T21:42:22;29976;12080;22134
9;INCOME;28937.24;2025-10-08T09:31:46;2373;20831;25684
10;EXPENSE;27008.93;2025-10-09T00:10:58;26775;14345;1520
