id;name;license_plate;type;current_mileage;status
1;versus;stint troubled poorly;an with loyally;25230.43;IN_TRIP
2;wolf;debit tectonics summarise;vicinity;8149.85;IN_TRIP
3;whenever;solemnly aha ceramics;impartial;3136.16;IDLE
4;upon faithfully;if quit;floss;2929.96;MAINTENANCE
5;tensely between yahoo;whereas meadow;yum er wonderfully;2597.71;IDLE
6;tall longingly;slow incline;too effector abaft;19332.12;IDLE
7;focalise phooey;sans because lazily;never seriously what;2842.17;IDLE
8;when via outbid;whoa;wherever cleave;20496.8;AVAILABLE
9;impact too in;operating co-producer;jovially near provided;5585.59;MAINTENANCE
10;underachieve;bank ouch netsuke;highlight nicely;1105.54;IN_TRIP
